id,name,length,width,height,weight,category,priority,fragility,stackable,access_freq,can_rotate
SYN-72c452ed,Synthetic confectionery 111,0.77,0.57,0.38,10.59,confectionery,1,1,0,10,1
SYN-6157e32d,Synthetic vegetables 420,1.1,0.51,0.56,8.5,vegetables,2,1,0,2,1
REAL-f81c4ec7,croissant with piquant stuffing-00109718,0.59,0.2,0.2,8.25,snack,1,0,1,1,1
SYN-91a4b7cf,Synthetic candy 78,1.11,0.35,0.47,8.94,candy,1,0,1,5,1
SYN-bd344095,Synthetic confectionery 182,1.13,0.3,0.45,13.74,confectionery,1,1,0,6,1
SYN-e2adc57a,Synthetic fruit 285,0.77,0.57,0.44,9.9,fruit,2,1,0,1,1
SYN-1bbc9c94,Synthetic potatoe products 11,1.17,0.43,0.37,16.05,potatoe products,1,0,1,4,1
SYN-0813e9e1,Synthetic snack 470,0.78,0.54,0.52,21.4,snack,3,0,0,6,1
SYN-2622dfca,Synthetic confectionery 79,0.79,0.52,0.57,19.07,confectionery,1,1,0,7,1
SYN-b87e4b20,Synthetic vegetables 350,0.75,0.39,0.56,12.96,vegetables,1,1,0,1,1
SYN-4ac58f64,Synthetic fruit 56,1.12,0.44,0.59,14.49,fruit,1,1,0,7,1
SYN-69b1602d,Synthetic potatoe products 119,1.08,0.54,0.51,19.52,potatoe products,2,0,1,2,1
SYN-8b72329a,Synthetic bakery products 110,1.14,0.32,0.46,14.32,bakery products,1,1,0,9,1
REAL-7e10bbb0,pizza Margherita-00111661,0.26,0.26,0.3,4.8,pizza,1,0,1,1,1
SYN-0223e0fb,Synthetic side dish 370,1.08,0.56,0.22,16.01,side dish,1,0,1,4,1
SYN-4869454b,Synthetic confectionery 235,1.18,0.54,0.6,9.54,confectionery,1,1,0,8,1
SYN-713ed2f2,Synthetic candy 31,1.18,0.79,0.26,16.81,candy,1,0,1,1,1
SYN-ca381ed1,Synthetic fruit 213,0.79,0.41,0.56,15.8,fruit,3,1,0,6,1
SYN-bdaba9d4,Synthetic ice cream 185,0.63,0.46,0.15,8.29,ice cream,1,1,0,7,1
SYN-50067107,Synthetic ice cream 87,0.78,0.56,0.54,21.19,ice cream,1,1,0,8,1
SYN-60407878,Synthetic potatoe products 3,1.0,0.47,0.5,8.08,potatoe products,2,0,1,4,1
REAL-5ceabcfa,sundae-00106936,0.26,0.16,0.26,2.53,ice cream,1,0,1,1,1
REAL-850bf45d,vegetables-00109095,0.39,0.25,0.26,9.3,vegetables,1,0,1,1,1
REAL-4b6b533c,vegetables-00103914,0.33,0.19,0.29,4.91,vegetables,1,0,1,1,1
SYN-af9d26a1,Synthetic potatoe products 369,0.75,0.49,0.74,25.56,potatoe products,2,0,0,6,1
REAL-2fa70ced,pastry w. vanilla stuffing-00109712,0.59,0.19,0.22,7.1,confectionery,1,0,1,1,1
SYN-56e5187e,Synthetic instant meals 73,1.18,0.78,0.5,13.08,instant meals,3,0,1,1,1
SYN-51b7bebf,Synthetic confectionery 136,0.58,0.39,0.56,7.63,confectionery,3,1,0,9,1
REAL-dfa61c68,piece of cake-00110983,0.58,0.38,0.19,5.915,confectionery,1,0,1,1,1
SYN-f3ea58ec,Synthetic candy 438,0.57,0.41,0.4,11.42,candy,1,0,1,4,1
REAL-d5915a90,popsicles for children-00110710,0.33,0.21,0.29,5.25,ice cream,1,0,1,1,1
SYN-fe3c1bfa,Synthetic candy 164,0.77,0.42,0.34,5.98,candy,3,0,1,7,1
SYN-85aca758,Synthetic vegetables 83,1.11,0.47,0.44,14.61,vegetables,3,1,0,9,1
