scenario_id,item_l,item_w,item_h,weight,fragile,stackable,can_rotate,access_freq,priority,af_prio,wh_l,wh_w,wh_h,door_x,door_y,target_x,target_y,target_z,target_rot
0,0.32,0.21,0.27,5.45,0,1,1,8,3,24,2.0,2.0,8.8,0.0,0.0,0.6550000309944153,0.36500000953674316,0.0,4
0,0.35,0.26,0.19,9.95,1,0,1,8,1,8,2.0,2.0,8.8,0.0,0.0,1.2450000047683716,0.7799999713897705,0.0,5
0,0.57,0.23,0.25,7.62,0,1,1,5,3,15,2.0,2.0,8.8,0.0,0.0,0.125,1.1150000095367432,0.0,5
0,0.51,0.23,0.23,4.59,0,1,1,6,2,12,2.0,2.0,8.8,0.0,0.0,0.6649999618530273,0.6150000095367432,0.0,4
0,0.33,0.21,0.28,5.4,0,1,1,5,3,15,2.0,2.0,8.8,0.0,0.0,1.0749999284744263,0.4100000262260437,0.0,4
0,0.41,0.31,0.25,9.77,0,1,1,1,2,2,2.0,2.0,8.8,0.0,0.0,0.125,1.5850000381469727,0.0,5
0,0.59,0.19,0.17,5.42,0,1,1,8,1,8,2.0,2.0,8.8,0.0,0.0,0.39500001072883606,0.7049999833106995,0.0,4
0,0.38,0.21,0.13,7.22,0,1,1,3,1,3,2.0,2.0,8.8,0.0,0.0,0.5350000262260437,0.8550000190734863,0.0,4
0,0.39,0.3,0.12,5.46,0,0,1,9,2,18,2.0,2.0,8.8,0.0,0.0,0.15000000596046448,0.6800000071525574,0.0,4
0,0.57,0.21,0.19,8.8,0,1,1,6,2,12,2.0,2.0,8.8,0.0,0.0,0.10499999672174454,0.8350000381469727,0.0,4
0,0.39,0.29,0.12,2.37,1,0,1,8,1,8,2.0,2.0,8.8,0.0,0.0,1.1899999380111694,1.4449999332427979,0.0,5
0,0.56,0.27,0.27,9.57,0,1,1,1,1,1,2.0,2.0,8.8,0.0,0.0,0.6950000524520874,1.0550000667572021,0.0,4
0,0.59,0.19,0.23,7.2,1,0,1,9,1,9,2.0,2.0,8.8,0.0,0.0,0.9250000715255737,1.125,0.0,4
