item_l,item_w,item_h,weight,fragile,stackable,can_rotate,wh_l,wh_w,wh_h,target_x,target_y,target_z,target_rot
0.6,0.43,0.55,10.79,1,0,1,3.4,2.7,5.8,3.1050000190734863,2.0299999713897705,1.1100000143051147,1
1.18,0.79,0.52,14.11,1,0,1,3.4,2.7,5.8,1.6399998664855957,2.305000066757202,1.209999918937683,0
0.77,0.53,0.58,20.1,0,1,1,3.4,2.7,5.8,0.40913820266723633,1.645975947380066,0.0,1
1.14,0.43,0.46,14.2,0,1,1,3.4,2.7,5.8,1.864138126373291,2.2459757328033447,0.5799999833106995,0
0.73,0.49,0.63,16.29,0,1,1,3.4,2.7,5.8,2.94517183303833,2.1112635135650635,0.0,1
0.78,0.33,0.33,16.07,0,1,1,3.4,2.7,5.8,1.5,0.9449999928474426,0.0,0
1.01,0.47,0.46,11.06,0,1,1,3.4,2.7,5.8,2.5950002670288086,0.23499999940395355,0.6499999761581421,0
0.63,0.42,0.58,11.05,0,1,1,3.4,2.7,5.8,2.6441383361816406,2.345975875854492,0.6299999952316284,1
0.53,0.36,0.46,7.59,0,1,1,3.4,2.7,5.8,2.3550000190734863,1.8500001430511475,0.5699999928474426,0
0.67,0.41,0.6,10.75,0,1,1,3.4,2.7,5.8,1.6650002002716064,1.0149999856948853,0.7400000095367432,0
0.79,0.53,0.43,7.2,0,1,1,3.4,2.7,5.8,0.7849999666213989,2.305000066757202,1.0399999618530273,1
0.64,0.39,0.35,13.68,1,0,1,3.4,2.7,5.8,2.3999998569488525,0.19499999284744263,1.1100000143051147,0
0.81,0.58,0.24,9.92,0,1,1,3.4,2.7,5.8,1.6749999523162842,0.28999999165534973,1.0099999904632568,0
0.78,0.53,0.57,20.01,0,1,1,3.4,2.7,5.8,2.9651718139648438,1.356263518333435,0.0,1
0.55,0.39,0.46,9.2,0,1,1,3.4,2.7,5.8,3.0850000381469727,0.7549999952316284,0.9199999570846558,1
0.78,0.54,0.56,19.97,0,1,1,3.4,2.7,5.8,0.5341382026672363,2.300975799560547,0.0,0
1.11,0.46,0.48,16.11,0,1,1,3.4,2.7,5.8,0.5550000071525574,1.0099999904632568,0.0,0
0.71,0.46,0.62,13.91,0,1,1,3.4,2.7,5.8,0.23000000417232513,1.1349999904632568,0.5799999833106995,1
0.77,0.53,0.53,20.76,0,1,1,3.4,2.7,5.8,1.523733139038086,2.4173054695129395,0.0,0
0.69,0.43,0.62,12.18,0,1,1,3.4,2.7,5.8,0.2150000035762787,0.3449999988079071,0.5799999833106995,1
0.85,0.6,0.17,8.04,0,1,1,3.4,2.7,5.8,1.7191381454467773,2.3309757709503174,1.0399999618530273,0
0.63,0.41,0.41,13.01,0,1,1,3.4,2.7,5.8,1.6450002193450928,1.0149999856948853,0.33000001311302185,0
0.75,0.5,0.5,20.96,0,1,1,3.4,2.7,5.8,2.377939462661743,0.9303986430168152,0.0,1
0.78,0.54,0.58,20.19,0,1,1,3.4,2.7,5.8,0.27000001072883606,0.38999998569488525,0.0,1
0.85,0.57,0.25,10.31,0,1,1,3.4,2.7,5.8,0.8250000476837158,0.9650000333786011,0.9700000286102295,1
1.15,0.41,0.48,14.28,0,1,1,3.4,2.7,5.8,0.7191382050514221,2.235975742340088,0.5600000023841858,0
0.78,0.68,0.4,15.7,0,1,1,3.4,2.7,5.8,1.5441381931304932,1.6509759426116943,0.0,1
0.76,0.53,0.61,19.46,0,1,1,3.4,2.7,5.8,0.9391381740570068,1.6409759521484375,0.0,1
1.14,0.42,0.46,13.74,0,1,1,3.4,2.7,5.8,0.5699999928474426,1.7000000476837158,0.6100000143051147,0
0.77,0.71,0.32,15.58,0,1,1,3.4,2.7,5.8,1.5591381788253784,1.645975947380066,0.4000000059604645,1
0.78,0.53,0.58,20.36,0,1,1,3.4,2.7,5.8,2.2987332344055176,2.4173054695129395,0.0,0
1.06,0.48,0.5,12.2,1,0,1,3.4,2.7,5.8,0.23999999463558197,1.309999942779541,1.2000000476837158,1
1.17,0.79,0.42,15.14,0,1,1,3.4,2.7,5.8,0.9350000619888306,0.5849999785423279,0.550000011920929,1
